trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
281,False,"{'a': 0.1999999999999995, 'e': 0.014995576820477703}",25,13,22.03054493081761,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.1999999999999995, 'e': 0.014772321767087523}",20,14,10.882603739350618,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.1999999999999995, 'e': 0.014552390548416136}",30,19,19.341931200293374,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.1999999999999995, 'e': 0.01433573367901149}",25,19,9.262525607556688,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.1999999999999995, 'e': 0.014122302410163962}",35,13,37.37564712790737,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.1999999999999995, 'e': 0.013912048718937631}",30,21,13.057866689941136,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.1999999999999995, 'e': 0.013704925297364945}",25,17,14.785343533368192,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.1999999999999995, 'e': 0.013500885541802265}",30,18,19.315649394080747,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.1999999999999995, 'e': 0.013299883542443767}",20,7,24.50329189836572,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.1999999999999995, 'e': 0.013101874072991637}",25,12,26.1495690726728,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.1999999999999995, 'e': 0.012906812580479873}",20,16,6.553361191060643,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.1999999999999995, 'e': 0.012714655175249731}",20,8,10.323355944567549,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
293,False,"{'a': 0.1999999999999995, 'e': 0.012525358621074385}",25,9,29.741869758194568,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.1999999999999995, 'e': 0.012338880325430533}",25,16,16.389763562092845,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.1999999999999995, 'e': 0.012155178329914935}",20,6,27.04027181527033,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.1999999999999995, 'e': 0.011974211300803622}",25,7,35.176104956974314,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.1999999999999995, 'e': 0.011795938519751572}",20,13,10.880593226137892,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.1999999999999995, 'e': 0.011620319874630945}",30,20,20.25212930187133,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.1999999999999995, 'e': 0.01144731585050571}",25,17,19.452710825837144,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.1999999999999995, 'e': 0.011276887520740568}",20,13,14.664076420459349,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.1999999999999995, 'e': 0.011108996538242306}",20,15,9.868390677705648,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.1999999999999995, 'e': 0.01094360512683159}",25,17,14.043051599934767,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.1999999999999995, 'e': 0.010780676072743084}",20,8,20.42325305054656,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.1999999999999995, 'e': 0.01062017271625227}",25,9,32.92098810439868,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.1999999999999995, 'e': 0.010462058943426803}",20,3,28.50423932999234,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.1999999999999995, 'e': 0.01030629917800074}",25,16,17.146125190708418,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.1999999999999995, 'e': 0.010152858373369763}",25,15,20.236410862609628,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.1999999999999995, 'e': 0.010001702004705487}",25,15,19.280480749176316,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.1999999999999995, 'e': 0.009852796061187257}",35,24,20.511307230613316,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,15,8.792601234804234,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,31.17717740747817,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,13,13.96830968178233,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,16,6.173667129903034,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,13,15.678325129464259,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,6,22.506613914173155,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,24,9.43112066491385,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,14,13.700029813148879,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,16,8.107485660921483,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,15,12.137300722385259,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
